url,name,rating,ratingcount,ingredients,directions,prep,cook,total,calories
https://www.allrecipes.com/recipe/10539/almond-shortbread-i/,Almond Shortbread I,4.3,204,"1 cup butter, room temperature; ½ cup white sugar; 2 teaspoons almond extract; 2 ½ cups sifted all-purpose flour;  cup granulated sugar for decoration","1. In a large bowl, beat butter with 1/2 cup sugar and almond extract until light and fluffy. With a wooden spoon, stir in flour until smooth and well combined. Divide dough into 2 parts. Wrap in plastic and refrigerate for 2 hours. 2. Preheat oven to 300 degrees F (150 degrees C). 3. On lightly sugared surface, roll out dough, one part at a time, about 1/2-inch thick. Cut out cookies with a 1 1/2-inch round cookie cutter. Place on ungreased cookie sheet 1 inch apart. Make an indentation in the center of each cookie with the end of a wooden spoon. 4. Bake in preheated oven until cookies are light golden brown around the edges, 25 to 30 minutes. While still warm, roll in sugar. Cool completely on a wire rack. Store in an air-tight container.",15 mins,25 mins,2 hrs 40 mins,191
https://www.allrecipes.com/recipe/146819/spooky-witches-fingers/,Spooky Witches' Fingers,4.5,852,"1 cup butter, softened; 1 cup confectioners' sugar; 1  egg; 1 teaspoon almond extract; 1 teaspoon vanilla extract; 2  cups all-purpose flour; 1 teaspoon baking powder; 1 teaspoon salt; ¾ cup whole almonds; 1 (.75 ounce) tube red decorating gel","1. Combine the butter, sugar, egg, almond extract, and vanilla extract in a mixing bowl. Beat together with an electric mixer; gradually add the flour, baking powder, and salt, continually beating; refrigerate 20 to 30 minutes. 2. Preheat oven to 325 degrees F (165 degrees C). Lightly grease baking sheets. 3. Remove dough from refrigerator in small amounts. Scoop 1 heaping teaspoon at a time onto a piece of waxed paper. Use the waxed paper to roll the dough into a thin finger-shaped cookie. Press one almond into one end of each cookie to give the appearance of a long fingernail. Squeeze cookie near the tip and again near the center of each to give the impression of knuckles. You can also cut into the dough with a sharp knife at the same points to help give a more finger-like appearance. Arrange the shaped cookies on the baking sheets. 4. Bake in the preheated oven until the cookies are slightly golden in color, 20 to 25 minutes. 5. Remove the almond from the end of each cookie; squeeze a small amount of red decorating gel into the cavity; replace the almond to cause the gel to ooze out around the tip of the cookie.",35 mins,20 mins,1 hr 15 mins,68
https://www.allrecipes.com/recipe/261939/crunchy-sugar-free-granola/,Crunchy Sugar-Free Granola,4.7,13,3 ¾ cups rolled oats; ½ cup chopped almonds; ¼ cup dried unsweetened coconut; ¼ cup sesame seeds; 2 teaspoons ground cinnamon; ¼ teaspoon salt; 3  large egg whites; 1 teaspoon vanilla extract (Optional),"1. Preheat oven to 225 degrees F (110 degrees C). Line a baking sheet with parchment paper. 2. Combine oats, almonds, coconut, sesame seeds, cinnamon, and salt in a large bowl. 3. Beat egg whites in a glass, metal, or ceramic bowl until stiff peaks form. Beat in vanilla extract. Fold egg whites into the oat mixture. Spread on the prepared baking sheet. 4. Bake in the preheated oven, stirring every 20 minutes, until granola is crispy, about 1 hour.",10 mins,1 hr,1 hr 10 mins,332
https://www.allrecipes.com/recipe/15723/vaselopita-greek-new-years-cake/,Vaselopita - Greek New Years Cake,4.5,74,1 cup butter; 2 cups white sugar; 3 cups all-purpose flour; 6  eggs; 2 teaspoons baking powder; 1 cup warm milk (110 degrees F/45 degrees C); ½ teaspoon baking soda; 1 tablespoon fresh lemon juice; ¼ cup blanched slivered almonds; 2 tablespoons white sugar,"1. Preheat oven to 350 degrees F (175 degrees C). Generously grease a 10 inch round cake pan. 2. In a medium bowl, cream the butter and sugar together until light. Stir in the flour and mix until the mixture is mealy. Add the eggs one at a time, mixing well after each addition. Combine the baking powder and milk, add to the egg mixture, mix well. Then combine the lemon juice and baking soda, stir into the batter. Pour into the prepared cake pan. 3. Bake for 20 minutes in the preheated oven. Remove and sprinkle the nuts and sugar over the cake, then return it to the oven for 20 to 30 additional minutes, until cake springs back to the touch. Gently cut a small hole in the cake and place a quarter in the hole. Try to cover the hole with sugar. Cool cake on a rack for 10 minutes before inverting onto a plate. 4. Serve cake warm. Each person in the family gets a slice starting with the youngest. The person who gets the quarter in their piece, gets good luck for the whole year!",30 mins,1 hr,1 hr 30 mins,447
https://www.allrecipes.com/recipe/239620/bread-machine-almond-bread/,Bread Machine Almond Bread,4.8,12,1 ¼ cups water; 4 teaspoons almond oil; 1 teaspoon salt; ¼ cup honey; 1 cup almond flour; 2 cups whole wheat flour; ¼ cup vital wheat gluten; 1 teaspoon xanthan gum; 1 (.25 ounce) package dry yeast,"1. Combine water, almond oil, salt, honey, almond flour, whole wheat flour, vital wheat gluten, xanthan gum, and yeast, respectively in a bread machine. Follow manufacturers' instructions for a 2-pound loaf.",10 mins,,3 hrs 10 mins,117
https://www.allrecipes.com/recipe/282681/lace-cookies-florentine-cookies/,Lace Cookies (Florentine Cookies),4.2,22,"1 ½ cups whole raw almonds; ½ cup unsalted butter; ¾ cup light brown sugar; ¼ cup honey; ½ teaspoon vanilla extract; 1 pinch salt; 3 tablespoons all-purpose flour; 1 cup semisweet chocolate chips, melted","1. Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with a silicone liner (such as Silpat®). 2. Place almonds into the bowl of a food processor; alternate pulsing and running at full speed every few seconds until finely chopped and crumblike. Be careful not to go too far; you don't want them too fine and pasty. 3. Combine butter, brown sugar, and honey in a saucepan over medium heat. Stir a few times and cook until melted and dissolved. Bring to a boil, then carefully remove from the heat. 4. Add vanilla extract, salt, and flour, and whisk until smooth. Add chopped almonds and mix with a spatula until everything is combined. 5. Drop eight uniformly sized, rounded spoonfuls of batter (each about 2 teaspoons, or 15 grams) onto the prepared sheet. Fine-tune the cookie shapes and make sure they are evenly spaced. 6. Place in the center of the preheated oven and bake until golden brown and a bit darker around the outsides, 10 to 12 minutes, rotating the pan halfway through. 7. Remove from the oven and slide the silicone liner off the baking sheet and directly onto the countertop. Allow to sit until cool and crisp, 3 to 5 minutes, then gently peel cookies off the liner. Repeat to bake remaining batches. 8. Spread melted chocolate over the flat side of one cookie. Place a second cookie, flat-side down, on top to make a sandwich and press very gently to seal. Repeat to form remaining cookies. Let sit until chocolate has firmed up, about 30 minutes.",50 mins,1 hr,2 hrs 20 mins,213
https://www.allrecipes.com/recipe/159901/almond-bear-claws/,Almond Bear Claws,4.6,41," cup almond paste; 2 ¾ cups ground almonds; ½ cup white sugar; 1 pinch salt; 2 tablespoons butter; 2  egg whites; ½ teaspoon almond extract; 2 teaspoons amaretto liqueur; 3 pounds puff pastry; 1  egg; 1 tablespoon water; 3 tablespoons sliced almonds, for garnish; 3 tablespoons confectioners' sugar for dusting","1. In a large bowl, beat almond paste with an electric mixer to break it apart. Add the almonds, sugar, and salt; continue to mix until the almond paste is no longer lumpy. Stir in the butter, egg whites, almond extract and amaretto liqueur on high speed until its as fluffy as you can get it. Set aside. 2. Using half of the dough at a time, roll it out on a lightly floured surface into a rectangle that is about 8 inches wide and 1/4 inch thick. Trim the edges of the dough. Cut the dough in half lengthwise to make two 4 inch wide strips. 3. Preheat the oven to 400 degrees F (200 degrees C). Line baking sheets with parchment paper. 4. Fill a pastry bag halfway with the almond filling and pipe a stripe of filling down the center of each strip. Whisk together the egg and water. Brush onto one edge of each strip. Fold each strip over the filling and press gently to seal it. Brush each piece with egg wash and sprinkle sliced almonds over the top. Cut into 3 to 4 inch pieces, then cut 1/2 inch slits into the sealed edge to make the ''claws''. Place the bear claws at least two inches apart on baking sheets. Refrigerate and repeat with the second half of the dough. 5. Bake in the preheated oven until almonds are toasted and pastry is golden brown, 25 to 30 minutes. Cool and dust with confectioners' sugar right before serving.",2 hrs,25 mins,2 hrs 25 mins,419
https://www.allrecipes.com/recipe/80734/galette-des-rois/,Galette des Rois,4.9,52,"¼ cup almond paste; ¼ cup white sugar; 3 tablespoons unsalted butter, softened; 1  egg; ¼ teaspoon vanilla extract; ¼ teaspoon almond extract; 2 tablespoons all-purpose flour; 1 pinch salt; 1 (17.25 ounce) package frozen puff pastry, thawed; 1  dry kidney bean; 1  egg, beaten; 1 tablespoon confectioners' sugar for dusting","1. Place the almond paste into a food processor or blender with about half of the sugar, and process until well blended. Add the butter and remaining sugar using and process until smooth, then blend in 1 egg, vanilla extract, almond extract, flour and salt. Set aside. 2. Preheat the oven to 425 degrees F (220 degrees C). Butter a baking sheet or line with parchment paper, and set aside. 3. Roll out one sheet of the puff pastry into an 11-inch square. Keep the pastry cool, do not knead or stretch. Use a large pie plate, cake pan or frying pan to trace an 11 inch circle onto the dough using the tip of a small knife. Place the circle of pastry onto the prepared baking sheet. Repeat with the second sheet of pastry. Refrigerate both sheets. 4. Mound the almond filling onto the center of the pastry that is on the baking sheet. Leave about 1 1/2 inch margin at the edges. Press the bean or feve down into the filling. Place the second sheet of pastry on top, and press down the edges to seal. Beat the remaining egg with a fork, and lightly brush onto the top of the galette. Use a knife to make a crisscross pattern in the egg wash, and then prick several small slits in the top to vent steam while baking. 5. Bake for 15 minutes in the preheated oven. Do not open the oven until the time is up, as the pastry will not fully puff. Remove from the oven, and dust with confectioners' sugar. Return to the oven, and cook for an additional 12 to 15 minutes, or until the top is a deep golden brown. Transfer to a wire rack to cool. 6. Lay a golden paper crown gently on top of the cake. This will be used to crown the person who finds the bean or feve. Serve warm or cold. Make sure to tell everyone about the bean or feve.",20 mins,30 mins,50 mins,229
https://www.allrecipes.com/recipe/159939/almond-crusted-tilapia/,Almond-Crusted Tilapia,4.5,509,2  eggs; 1 teaspoon lemon pepper; 1 teaspoon garlic pepper; 1 cup ground almonds; 1 cup freshly grated Parmesan cheese; 8 (6 ounce) tilapia fillets; ¼ cup all-purpose flour for dusting; 6 tablespoons butter; salt to taste; 1 cup freshly grated Parmesan cheese; 8 sprigs parsley; 8  lemon wedges,"1. Beat the eggs with the lemon pepper and garlic pepper until blended; set aside. Stir together ground almonds with 1 cup of Parmesan cheese in a shallow dish until combined; set aside. Dust the tilapia fillets with flour, and shake off excess. Dip the tilapia in egg, then press into the almond mixture. 2. Melt butter in a large skillet over medium-high heat. Cook tilapia in melted butter until golden brown on both sides, 2 to 3 minutes per side. Reduce heat to medium, and season fillets with salt if desired. Sprinkle the tilapia with the remaining Parmesan cheese, cover, and continue cooking until the Parmesan cheese has melted, about 5 minutes. 3. Transfer the tilapia to a serving dish, and garnish with parsley springs and lemon wedges to serve.",20 mins,10 mins,30 mins,424
https://www.allrecipes.com/recipe/171151/sweet-and-spicy-almonds/,Sweet and Spicy Almonds,4.8,132,¼ cup white sugar; 1 ½ teaspoons kosher salt; 1 teaspoon cayenne pepper; 2 ½ cups whole almonds; 1 tablespoon water; 1 tablespoon honey; 1 teaspoon olive oil,"1. Preheat an oven to 350 degrees F (175 degrees C). Spread the almonds onto a baking sheet, and toast until the nuts start to turn golden brown and become fragrant, about 10 minutes. Watch the nuts carefully as they bake: they burn quickly. 2. Stir together the sugar, salt, and cayenne pepper in a mixing bowl; set aside. 3. Stir together the water, honey, and olive oil in a large skillet over medium heat. Once the mixture begins to bubble, stir in the toasted almonds until evenly moistened. Pour the almonds into the sugar and spice mixture, and toss until evenly coated. Spread onto baking sheets in a single layer, and cool to room temperature.",10 mins,15 mins,1 hr 25 mins,236
